Order	Family	Species	Occurrence	FishBase name	Name	Use	Use_elsewhere
Perciformes	Sphyraenidae	Sphyraena jello	native 	Pickhandle barracuda 	Alu-alu 	commercial 	commercial 
Perciformes	Sphyraenidae	Sphyraena obtusata	native 	Obtuse barracuda 	Kucul 	commercial 	commercial 
Perciformes	Sphyraenidae	Sphyraena putnamae	native 	Sawtooth barracuda 	 	commercial 	commercial 
Carcharhiniformes	Sphyrnidae	Sphyrna lewini	native 	Scalloped hammerhead 	Hiu bingkoh 	commercial 	commercial 
Clupeiformes	Clupeidae	Spratelloides delicatulus	native 	Delicate round herring 	Kasan 	minor commercial 	minor commercial 
Clupeiformes	Clupeidae	Spratelloides gracilis	native 	Silver-stripe round herring 	Bileh 	minor commercial 	minor commercial 
Clupeiformes	Clupeidae	Spratelloides lewisi	native 	Lewis' round herring 	 	subsistence fisheries 	subsistence fisheries 
Perciformes	Pomacentridae	Stegastes fasciolatus	native 	Pacific gregory 	Pacific gregory 	minor commercial 	minor commercial 
Atheriniformes	Atherinidae	Stenatherina panatela	native 	Panatella silverside 	 	minor commercial 	minor commercial 
Perciformes	Labridae	Stethojulis trilineata	native 	Three-lined rainbowfish 	Pilo 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Engraulidae	Stolephorus baganensis	native 	Bagan anchovy 	 	subsistence fisheries 	minor commercial 
Clupeiformes	Engraulidae	Stolephorus commersonnii	native 	Commerson's anchovy 	Ake lae 	commercial 	commercial 
Clupeiformes	Engraulidae	Stolephorus dubiosus	native 	Thai anchovy 	 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Engraulidae	Stolephorus indicus	native 	Indian anchovy 	Puri putih 	minor commercial 	minor commercial 
Clupeiformes	Engraulidae	Stolephorus insularis	native 	Hardenberg's anchovy 	 	commercial 	commercial 
Clupeiformes	Engraulidae	Stolephorus tri	native 	Spined anchovy 	Teri 	subsistence fisheries 	subsistence fisheries 
Anguilliformes	Muraenidae	Strophidon sathete	native 	Slender giant moray 	 	minor commercial 	minor commercial 
Perciformes	Lutjanidae	Symphorichthys spilurus	native 	Sailfin snapper 	Krapu layar 	minor commercial 	minor commercial 
Perciformes	Lutjanidae	Symphorus nematophorus	native 	Chinamanfish 	Baga 	commercial 	commercial 
Perciformes	Symphysanodontidae	Symphysanodon typus	native 	Insular shelf beauty 	 	minor commercial 	minor commercial 
Aulopiformes	Synodontidae	Synodus hoshinonis	native 	Blackear lizardfish 	 	minor commercial 	minor commercial 
Aulopiformes	Synodontidae	Synodus indicus	native 	Indian lizardfish 	Indian lizardfish 	commercial 	commercial 
Aulopiformes	Synodontidae	Synodus jaculum	native 	Lighthouse lizardfish 	Tail-blotch lizardfish 	minor commercial 	minor commercial 
Aulopiformes	Synodontidae	Synodus macrops	native 	Triplecross lizardfish 	Lagoon lizardfish 	minor commercial 	minor commercial 
Aulopiformes	Synodontidae	Synodus sageneus	native 	Speartoothed grinner 	 	subsistence fisheries 	commercial 
Aulopiformes	Synodontidae	Synodus variegatus	native 	Variegated lizardfish 	Totate 	minor commercial 	commercial 
Myliobatiformes	Dasyatidae	Telatrygon zugei	native 	Pale-edged stingray 	Pari biasa 	minor commercial 	minor commercial 
Perciformes	Trichiuridae	Tentoriceps cristatus	native 	Crested hairtail 	 	minor commercial 	minor commercial 
Clupeiformes	Clupeidae	Tenualosa macrura	native 	Longtail shad 	Terubuk 	commercial 	commercial 
Clupeiformes	Clupeidae	Tenualosa toli	native 	Toli shad 	Terubuk padi 	minor commercial 	highly commercial 
Perciformes	Terapontidae	Terapon jarbua	native 	Jarbua terapon 	Babaguni 	minor commercial 	minor commercial 
Perciformes	Terapontidae	Terapon puta	native 	Small-scaled terapon 	Kerong-kerong padi 	commercial 	minor commercial 
Perciformes	Terapontidae	Terapon theraps	native 	Largescaled terapon 	Kerong-kerong 	minor commercial 	minor commercial 
Perciformes	Istiophoridae	Tetrapturus angustirostris	native 	Shortbill spearfish 	 	minor commercial 	minor commercial 
Clupeiformes	Engraulidae	Thryssa baelama	native 	Baelama anchovy 	Kendui 	minor commercial 	minor commercial 
Clupeiformes	Engraulidae	Thryssa dussumieri	native 	Dussumier's thryssa 	Bilis 	commercial 	commercial 
Clupeiformes	Engraulidae	Thryssa encrasicholoides	native 	False baelama anchovy 	 	minor commercial 	minor commercial 
Clupeiformes	Engraulidae	Thryssa hamiltonii	native 	Hamilton's thryssa 	 	commercial 	commercial 
Clupeiformes	Engraulidae	Thryssa kammalensis	native 	Kammal thryssa 	 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Engraulidae	Thryssa mystax	native 	Moustached thryssa 	Sangko 	commercial 	commercial 
Clupeiformes	Engraulidae	Thryssa setirostris	native 	Longjaw thryssa 	Bangkok 	minor commercial 	minor commercial 
Perciformes	Scombridae	Thunnus alalunga	native 	Albacore 	 	highly commercial 	highly commercial 
Perciformes	Scombridae	Thunnus albacares	native 	Yellowfin tuna 	Gelang kawung 	highly commercial 	highly commercial 
Perciformes	Scombridae	Thunnus maccoyii	native 	Southern bluefin tuna 	 	commercial 	commercial 
Perciformes	Scombridae	Thunnus obesus	native 	Bigeye tuna 	Balang kuni 	highly commercial 	highly commercial 
Perciformes	Scombridae	Thunnus tonggol	native 	Longtail tuna 	Abu-abu 	highly commercial 	highly commercial 
Perciformes	Gempylidae	Thyrsitoides marleyi	native 	Black snoek 	 	subsistence fisheries 	minor commercial 
Cypriniformes	Cyprinidae	Tinca tinca	introduced 	Tench 	 	commercial 	commercial 
Cypriniformes	Cyprinidae	Tor douronensis	native 	Semah mahseer 	Kancera 	minor commercial 	minor commercial 
Perciformes	Toxotidae	Toxotes chatareus	native 	Spotted archerfish 	Sumpit 	minor commercial 	minor commercial 
Perciformes	Toxotidae	Toxotes jaculatrix	native 	Banded archerfish 	Archerfish 	subsistence fisheries 	minor commercial 
Aulopiformes	Synodontidae	Trachinocephalus myops	native 	Snakefish 	Aesi puti 	minor commercial 	minor commercial 
Perciformes	Carangidae	Trachinotus baillonii	native 	Small spotted dart 	Spotted dart 	minor commercial 	minor commercial 
Perciformes	Carangidae	Trachinotus blochii	native 	Snubnose pompano 	Lowang 	minor commercial 	minor commercial 
Perciformes	Carangidae	Trachinotus mookalee	native 	Indian pompano 	 	subsistence fisheries 	minor commercial 
Tetraodontiformes	Triacanthidae	Triacanthus biaculeatus	native 	Short-nosed tripodfish 	Songo langit 	minor commercial 	minor commercial 
Carcharhiniformes	Carcharhinidae	Triaenodon obesus	native 	Whitetip reef shark 	Hiu bokem 	minor commercial 	minor commercial 
Perciformes	Trichiuridae	Trichiurus lepturus	native 	Largehead hairtail 	Layur 	highly commercial 	highly commercial 
Perciformes	Osphronemidae	Trichopodus pectoralis	introduced 	Snakeskin gourami 	Lampot 	commercial 	commercial 
Perciformes	Osphronemidae	Trichopodus trichopterus	native 	Three spot gourami 	Sepat 	commercial 	minor commercial 
Beloniformes	Belonidae	Tylosurus crocodilus	native 	Hound needlefish 	Kacangan 	commercial 	commercial 
Perciformes	Carangidae	Ulua aurochs	native 	Silvermouth trevally 	 	minor commercial 	minor commercial 
Perciformes	Carangidae	Ulua mentalis	native 	Longrakered trevally 	Terman 	minor commercial 	commercial 
Perciformes	Mullidae	Upeneus japonicus	questionable 	Japanese goatfish 	 	minor commercial 	minor commercial 
Perciformes	Mullidae	Upeneus moluccensis	native 	Goldband goatfish 	Ikan kunir 	minor commercial 	commercial 
Perciformes	Mullidae	Upeneus sulphureus	native 	Sulphur goatfish 	Kunir 	minor commercial 	minor commercial 
Perciformes	Mullidae	Upeneus tragula	native 	Freckled goatfish 	Biji nangka karang 	commercial 	commercial 
Perciformes	Carangidae	Uraspis uraspis	native 	Whitemouth jack 	 	minor commercial 	minor commercial 
Perciformes	Serranidae	Variola albimarginata	native 	White-edged lyretail 	Geurape cabeung 	subsistence fisheries 	subsistence fisheries 
Perciformes	Serranidae	Variola louti	native 	Yellow-edged lyretail 	Geurape cabeung 	commercial 	commercial 
Gadiformes	Macrouridae	Ventrifossa divergens	native 	Plainfin grenadier 	 	minor commercial 	minor commercial 
Gadiformes	Macrouridae	Ventrifossa nigrodorsalis	native 	Spinaker grenadier 	 	minor commercial 	minor commercial 
Siluriformes	Siluridae	Wallago attu	native 	Wallago 	Jambal 	commercial 	commercial 
Siluriformes	Siluridae	Wallago leerii	native 	 	Tapah 	commercial 	commercial 
Perciformes	Lethrinidae	Wattsia mossambica	native 	Mozambique large-eye bream 	 	minor commercial 	minor commercial 
Perciformes	Xiphiidae	Xiphias gladius	native 	Swordfish 	Thoek kojek 	commercial 	commercial 
Perciformes	Zanclidae	Zanclus cornutus	native 	Moorish idol 	Ikan hias 	subsistence fisheries 	subsistence fisheries 
Pleuronectiformes	Soleidae	Zebrias quagga	native 	Fringefin zebra sole 	 	commercial 	commercial 
Zeiformes	Zeidae	Zenopsis nebulosa	native 	Mirror dory 	 	minor commercial 	commercial 
