Order	Family	Species	Occurrence	FishBase name	Name	Ref. No.
Perciformes	Serranidae	Plectropomus laevis	native 	Blacksaddled coralgrouper 	Okke makuri 	6390 	     
Perciformes	Serranidae	Plectropomus leopardus	native 	Leopard coralgrouper 	Kerapu sunu 	6390 	     
Perciformes	Serranidae	Plectropomus maculatus	native 	Spotted coralgrouper 	Kerapu lodi 	6390 	     
Perciformes	Serranidae	Plectropomus pessuliferus	native 	Roving coralgrouper 	Violet coral trout 	5213 	     
Perciformes	Polynemidae	Polydactylus macrochir	native 	King threadfin 	 	4699 	     
Perciformes	Polynemidae	Polydactylus plebeius	native 	Striped threadfin 	Kuro 	12484 	     
Perciformes	Polynemidae	Polydactylus sexfilis	native 	Sixfinger threadfin 	Mulut tikus 	4699 	     
Perciformes	Polynemidae	Polydactylus sextarius	native 	Blackspot threadfin 	 	4699 	     
Perciformes	Haemulidae	Pomadasys commersonnii	questionable 	Smallspotted grunter 	 	2799 	     
Perciformes	Haemulidae	Pomadasys kaakan	native 	Javelin grunter 	Spotted-grunter bream 	2799 	     
Carcharhiniformes	Carcharhinidae	Prionace glauca	native 	Blue shark 	Cucut selendang 	4699 	     
Perciformes	Lutjanidae	Pristipomoides auricilla	native 	Goldflag jobfish 	Bero babi igabuku 	30874 	     
Perciformes	Lutjanidae	Pristipomoides filamentosus	native 	Crimson jobfish 	Bero babi 	4887 	     
Perciformes	Lutjanidae	Pristipomoides sieboldii	native 	Lavender jobfish 	 	4887 	     
Perciformes	Lutjanidae	Pristipomoides zonatus	native 	Oblique-banded snapper 	Bero babi terusang 	4887 	     
Rhinopristiformes	Pristidae	Pristis microdon	native 	Largetooth sawfish 	Cucut gergaji 	5578 	     
Rhinopristiformes	Pristidae	Pristis pectinata	native 	Smalltooth sawfish 	 	5578 	     
Rhinopristiformes	Pristidae	Pristis zijsron	native 	Longcomb sawfish 	 	11228 	     
Perciformes	Gempylidae	Promethichthys prometheus	native 	Roudi escolar 	 	30874 	     
Perciformes	Latidae	Psammoperca waigiensis	native 	Waigieu seaperch 	Ringan 	4537 	     
Pleuronectiformes	Paralichthyidae	Pseudorhombus arsius	native 	Largetooth flounder 	Engkod siblah 	4537 	     
Perciformes	Chiasmodontidae	Pseudoscopelus altipinnis	native 	 	 	 	     
Perciformes	Labridae	Pteragogus flagellifer	native 	Cocktail wrasse 	 	 	     
Perciformes	Rachycentridae	Rachycentron canadum	native 	Cobia 	Badee 	4699 	     
Perciformes	Scombridae	Rastrelliger brachysoma	native 	Short mackerel 	Kembung perempuan 	4537 	     
Perciformes	Scombridae	Rastrelliger faughni	native 	Island mackerel 	Kembung 	4537 	     
Perciformes	Scombridae	Rastrelliger kanagurta	native 	Indian mackerel 	Banjar 	4537 	     
Perciformes	Sparidae	Rhabdosargus sarba	native 	Goldlined seabream 	 	9987 	     
Rhinopristiformes	Rhinopteridae	Rhinoptera javanica	native 	Flapnose ray 	Pari burung 	5578 	     
Carcharhiniformes	Carcharhinidae	Rhizoprionodon acutus	native 	Milk shark 	Hiu pilus 	5485 	     
Rhinopristiformes	Rhinidae	Rhynchobatus djiddensis	native 	Giant guitarfish 	 	4699 	     
Perciformes	Gempylidae	Ruvettus pretiosus	native 	Oilfish 	 	4699 	     
Salmoniformes	Salmonidae	Salmo salar	not established 	Atlantic salmon 	 	4699 	     
Perciformes	Scombridae	Sarda orientalis	native 	Striped bonito 	 	4537 	     
Scorpaeniformes	Peristediidae	Scalicus orientalis	native 	 	 	 	     
Osteoglossiformes	Osteoglossidae	Scleropages jardinii	native 	Australian bonytongue 	 	5259 	     
Perciformes	Nemipteridae	Scolopsis vosmeri	native 	Whitecheek monocle bream 	Pasir pasir 	12484 	     
Perciformes	Scombridae	Scomber australasicus	native 	Blue mackerel 	 	4537 	     
Perciformes	Carangidae	Scomberoides commersonnianus	native 	Talang queenfish 	Giant queenfish 	4699 	     
Perciformes	Carangidae	Scomberoides lysan	native 	Doublespotted queenfish 	Lima jari 	9987 	     
Perciformes	Carangidae	Scomberoides tol	native 	Needlescaled queenfish 	Talang-talang 	4537 	     
Perciformes	Scombridae	Scomberomorus commerson	native 	Narrow-barred Spanish mackerel 	Tangiro 	4699 	     
Perciformes	Scombridae	Scomberomorus guttatus	native 	Indo-Pacific king mackerel 	Ajong ajong 	4537 	     
Perciformes	Scombridae	Scomberomorus koreanus	native 	Korean seerfish 	 	4537 	     
Perciformes	Scombridae	Scomberomorus lineolatus	native 	Streaked seerfish 	Sanji-sanji 	4537 	     
Perciformes	Carangidae	Selar crumenophthalmus	native 	Bigeye scad 	Selar bentong 	4887 	     
Perciformes	Carangidae	Seriola dumerili	native 	Greater amberjack 	 	4699 	     
Perciformes	Carangidae	Seriola rivoliana	native 	Longfin yellowtail 	Longfin kingfish 	4699 	     
Perciformes	Carangidae	Seriolina nigrofasciata	native 	Blackbanded trevally 	Black-banded kingfish 	5213 	     
Perciformes	Sphyraenidae	Sphyraena barracuda	native 	Great barracuda 	Alu-alu 	4699 	     
Perciformes	Sphyraenidae	Sphyraena jello	native 	Pickhandle barracuda 	Alu-alu 	4699 	     
Perciformes	Sphyraenidae	Sphyraena obtusata	native 	Obtuse barracuda 	Kucul 	4752 	     
Perciformes	Sphyraenidae	Sphyraena putnamae	native 	Sawtooth barracuda 	 	4537 	     
Perciformes	Sphyraenidae	Sphyraena qenie	native 	Blackfin barracuda 	Alu-alu 	4699 	     
Carcharhiniformes	Sphyrnidae	Sphyrna lewini	native 	Scalloped hammerhead 	Hiu bingkoh 	4699 	     
Orectolobiformes	Stegostomatidae	Stegostoma fasciatum	native 	Zebra shark 	Cucut tekeh 	12484 	     
Beloniformes	Belonidae	Strongylura leiura	native 	Banded needlefish 	Kajang 	12484 	     
Anguilliformes	Muraenidae	Strophidon sathete	native 	Slender giant moray 	 	4699 	     
Perciformes	Lutjanidae	Symphorus nematophorus	native 	Chinamanfish 	Baga 	4699 	     
Myliobatiformes	Dasyatidae	Taeniura lymma	native 	Ribbontail stingray 	Ikan pari 	5578 	     
Myliobatiformes	Dasyatidae	Taeniurops meyeni	native 	Round ribbontail ray 	Pari babi 	5578 	     
Perciformes	Istiophoridae	Tetrapturus angustirostris	native 	Shortbill spearfish 	 	4887 	     
Perciformes	Labridae	Thalassoma purpureum	native 	Surge wrasse 	Cina-cina 	30874 	     
Perciformes	Scombridae	Thunnus alalunga	native 	Albacore 	 	4699 	     
Perciformes	Scombridae	Thunnus albacares	native 	Yellowfin tuna 	Gelang kawung 	4699 	     
Perciformes	Scombridae	Thunnus maccoyii	native 	Southern bluefin tuna 	 	4699 	     
Perciformes	Scombridae	Thunnus obesus	native 	Bigeye tuna 	Balang kuni 	4699 	     
Perciformes	Scombridae	Thunnus tonggol	native 	Longtail tuna 	Abu-abu 	4699 	     
Cypriniformes	Cyprinidae	Tinca tinca	introduced 	Tench 	 	4699 	     
Perciformes	Carangidae	Trachinotus africanus	native 	Southern pompano 	 	12484 	     
Perciformes	Carangidae	Trachinotus baillonii	native 	Small spotted dart 	Spotted dart 	30874 	     
Perciformes	Carangidae	Trachinotus blochii	native 	Snubnose pompano 	Lowang 	12484 	     
Perciformes	Carangidae	Trachinotus botla	native 	Largespotted dart 	 	171 	     
Perciformes	Carangidae	Trachinotus mookalee	native 	Indian pompano 	 	4537 	     
Carcharhiniformes	Carcharhinidae	Triaenodon obesus	native 	Whitetip reef shark 	Hiu bokem 	4699 	     
Perciformes	Trichiuridae	Trichiurus lepturus	native 	Largehead hairtail 	Layur 	3480 	     
Beloniformes	Belonidae	Tylosurus crocodilus	native 	Hound needlefish 	Kacangan 	4699 	     
Perciformes	Carangidae	Ulua mentalis	native 	Longrakered trevally 	Terman 	4537 	     
Perciformes	Serranidae	Variola louti	native 	Yellow-edged lyretail 	Geurape cabeung 	4699 	     
Siluriformes	Siluridae	Wallago attu	native 	Wallago 	Jambal 	4833 	     
Perciformes	Xiphiidae	Xiphias gladius	native 	Swordfish 	Thoek kojek 	4699 	     
