Order	Family	Species	Occurrence	FishBase name	Name	Danger
Siluriformes	Plotosidae	Paraplotosus albilabris	native 	Whitelipped eel catfish 	Sembilang 	venomous 
Scorpaeniformes	Scorpaenidae	Parapterois heterura	native 	Blackfoot firefish 	Gurnard lionfish 	venomous 
Scorpaeniformes	Scorpaenidae	Parascorpaena mossambica	native 	Mozambique scorpionfish 	Mozambique scorpionfish 	venomous 
Pleuronectiformes	Soleidae	Pardachirus pavoninus	native 	Peacock sole 	Peacock sole 	venomous 
Perciformes	Mullidae	Parupeneus cyclostomus	native 	Gold-saddle goatfish 	Ciko-ciko 	reports of ciguatera poisoning 
Myliobatiformes	Dasyatidae	Pastinachus sephen	native 	Cowtail stingray 	Pari ayam 	venomous 
Myliobatiformes	Dasyatidae	Pateobatis bleekeri	native 	Bleeker's whipray 	 	venomous 
Myliobatiformes	Dasyatidae	Pateobatis fai	native 	Pink whipray 	Pari minyak 	venomous 
Perciformes	Blenniidae	Petroscirtes breviceps	native 	Striped poison-fang blenny mimic 	Short-head sabretooth blenny 	traumatogenic 
Perciformes	Blenniidae	Plagiotremus tapeinosoma	native 	Piano fangblenny 	Hit and run blenny 	other 
Perciformes	Haemulidae	Plectorhinchus gibbosus	native 	Harry hotlips 	Brown sweetlips 	reports of ciguatera poisoning 
Perciformes	Serranidae	Plectropomus areolatus	native 	Squaretail coralgrouper 	Sunu kasar 	reports of ciguatera poisoning 
Perciformes	Serranidae	Plectropomus laevis	native 	Blacksaddled coralgrouper 	Okke makuri 	reports of ciguatera poisoning 
Perciformes	Serranidae	Plectropomus leopardus	native 	Leopard coralgrouper 	Kerapu sunu 	reports of ciguatera poisoning 
Perciformes	Serranidae	Plectropomus maculatus	native 	Spotted coralgrouper 	Kerapu lodi 	reports of ciguatera poisoning 
Perciformes	Serranidae	Plectropomus oligacanthus	native 	Highfin coralgrouper 	Kerapu ladah 	reports of ciguatera poisoning 
Siluriformes	Ariidae	Plicofollis argyropleuron	native 	Longsnouted catfish 	Manyung jahal 	traumatogenic 
Siluriformes	Ariidae	Plicofollis dussumieri	native 	Blacktip sea catfish 	Gaguk hitam 	traumatogenic 
Siluriformes	Ariidae	Plicofollis nella	native 	Smooth-headed catfish 	Manyung tongkol 	traumatogenic 
Siluriformes	Ariidae	Plicofollis polystaphylodon	native 	Mozambique sea catfish 	Ikan perut 	traumatogenic 
Siluriformes	Ariidae	Plicofollis tonggol	native 	Roughback sea catfish 	Manyung utik 	traumatogenic 
Siluriformes	Plotosidae	Plotosus canius	native 	Gray eel-catfish 	Sembilang 	venomous 
Siluriformes	Plotosidae	Plotosus lineatus	native 	Striped eel catfish 	Sembilang karang 	venomous 
Siluriformes	Plotosidae	Plotosus papuensis	native 	Papuan eel-catfish 	 	venomous 
Cyprinodontiformes	Poeciliidae	Poecilia latipinna	introduced 	Sailfin molly 	 	potential pest 
Cyprinodontiformes	Poeciliidae	Poecilia reticulata	introduced 	Guppy 	Bahenol 	potential pest 
Siluriformes	Ariidae	Potamosilurus macrorhynchus	native 	Sharp-nosed catfish 	 	traumatogenic 
Carcharhiniformes	Carcharhinidae	Prionace glauca	native 	Blue shark 	Cucut selendang 	traumatogenic 
Rhinopristiformes	Pristidae	Pristis microdon	native 	Largetooth sawfish 	Cucut gergaji 	traumatogenic 
Rhinopristiformes	Pristidae	Pristis pectinata	native 	Smalltooth sawfish 	 	traumatogenic 
Rhinopristiformes	Pristidae	Pristis zijsron	native 	Longcomb sawfish 	 	traumatogenic 
Perciformes	Gempylidae	Promethichthys prometheus	native 	Roudi escolar 	 	reports of ciguatera poisoning 
Tetraodontiformes	Balistidae	Pseudobalistes flavimarginatus	native 	Yellowmargin triggerfish 	Trigger putih 	reports of ciguatera poisoning 
Scorpaeniformes	Scorpaenidae	Pterois antennata	native 	Broadbarred firefish 	Scorpion miles 	venomous 
Scorpaeniformes	Scorpaenidae	Pterois lunulata	questionable 	Luna lion fish 	Japanese lionfish 	venomous 
Scorpaeniformes	Scorpaenidae	Pterois miles	native 	Devil firefish 	Soldier lionfish 	venomous 
Scorpaeniformes	Scorpaenidae	Pterois radiata	native 	Radial firefish 	Scorpion radiata 	venomous 
Scorpaeniformes	Scorpaenidae	Pterois russelii	native 	Plaintail turkeyfish 	Lepu ayam 	venomous 
Scorpaeniformes	Scorpaenidae	Pterois volitans	native 	Red lionfish 	Lepu-penganten 	venomous 
Siluriformes	Loricariidae	Pterygoplichthys disjunctivus	introduced 	Vermiculated sailfin catfish 	 	potential pest 
Rajiformes	Rajidae	Rajella annandalei	native 	Annandale's skate 	 	other 
Rhinopristiformes	Rhinidae	Rhina ancylostoma	native 	Bowmouth guitarfish 	Hiu barong 	other 
Scorpaeniformes	Scorpaenidae	Rhinopias frondosa	native 	Weedy scorpionfish 	Weedy scorpionfish 	venomous 
Tetraodontiformes	Ostraciidae	Rhynchostracion nasus	native 	Shortnose boxfish 	 	venomous 
Perciformes	Gempylidae	Ruvettus pretiosus	native 	Oilfish 	 	poisonous to eat 
Beryciformes	Holocentridae	Sargocentron caudimaculatum	native 	Silverspot squirrelfish 	Lambe batu 	venomous 
Beryciformes	Holocentridae	Sargocentron cornutum	native 	Threespot squirrelfish 	Biji rante 	venomous 
Beryciformes	Holocentridae	Sargocentron diadema	native 	Crown squirrelfish 	Surendang 	venomous 
Beryciformes	Holocentridae	Sargocentron ittodai	native 	Samurai squirrelfish 	Samurai squirrelfish 	venomous 
Beryciformes	Holocentridae	Sargocentron melanospilos	native 	Blackblotch squirrelfish 	Three-spot squirrelfish 	venomous 
Beryciformes	Holocentridae	Sargocentron microstoma	native 	Smallmouth squirrelfish 	Fine-lined squirrelfish 	venomous 
Beryciformes	Holocentridae	Sargocentron punctatissimum	native 	Speckled squirrelfish 	Speckled squirrelfish 	venomous 
Beryciformes	Holocentridae	Sargocentron rubrum	native 	Redcoat 	Swangi batu 	venomous 
Beryciformes	Holocentridae	Sargocentron spiniferum	native 	Sabre squirrelfish 	Lambe 	reports of ciguatera poisoning 
Beryciformes	Holocentridae	Sargocentron tiere	native 	Blue lined squirrelfish 	Blue-lined squirrelfish 	venomous 
Beryciformes	Holocentridae	Sargocentron tiereoides	native 	Pink squirrelfish 	Pink squirrelfish 	venomous 
Beryciformes	Holocentridae	Sargocentron violaceum	native 	Violet squirrelfish 	Red-faced squirrelfish 	venomous 
Perciformes	Scatophagidae	Scatophagus argus	native 	Spotted scat 	Bidang 	venomous 
Siluriformes	Ariidae	Sciades sona	native 	Sona sea catfish 	 	traumatogenic 
Perciformes	Carangidae	Scomberoides lysan	native 	Doublespotted queenfish 	Lima jari 	other 
Perciformes	Carangidae	Scomberoides tol	native 	Needlescaled queenfish 	Talang-talang 	venomous 
Perciformes	Scombridae	Scomberomorus commerson	native 	Narrow-barred Spanish mackerel 	Tangiro 	reports of ciguatera poisoning 
Scorpaeniformes	Scorpaenidae	Scorpaenodes albaiensis	native 	Longfingered scorpionfish 	Long-fingered scorpionfish 	venomous 
Scorpaeniformes	Scorpaenidae	Scorpaenodes guamensis	native 	Guam scorpionfish 	Guam scorpionfish 	venomous 
Scorpaeniformes	Scorpaenidae	Scorpaenodes hirsutus	native 	Hairy scorpionfish 	Hairy scorpionfish 	venomous 
Scorpaeniformes	Scorpaenidae	Scorpaenodes kelloggi	native 	Kellogg's scorpionfish 	 	venomous 
Scorpaeniformes	Scorpaenidae	Scorpaenodes minor	native 	Minor scorpionfish 	Brock's scorpionfish 	venomous 
Scorpaeniformes	Scorpaenidae	Scorpaenodes parvipinnis	native 	Lowfin scorpionfish 	 	venomous 
Scorpaeniformes	Scorpaenidae	Scorpaenopsis cirrosa	questionable 	Weedy stingfish 	 	venomous 
Scorpaeniformes	Scorpaenidae	Scorpaenopsis diabolus	native 	False stonefish 	Kerapu setan 	venomous 
Scorpaeniformes	Scorpaenidae	Scorpaenopsis gibbosa	questionable 	Humpbacked scorpionfish 	 	traumatogenic 
Scorpaeniformes	Scorpaenidae	Scorpaenopsis macrochir	native 	Flasher scorpionfish 	Flasher scorpionfish 	venomous 
Scorpaeniformes	Scorpaenidae	Scorpaenopsis neglecta	native 	Yellowfin scorpionfish 	 	venomous 
Scorpaeniformes	Scorpaenidae	Scorpaenopsis oxycephala	native 	Tassled scorpionfish 	Small-scale scorpionfish 	venomous 
Scorpaeniformes	Scorpaenidae	Scorpaenopsis venosa	native 	Raggy scorpionfish 	Raggy scorpionfish 	venomous 
